section,name,value
metrics,patientPeakAngle,102.716622
metrics,standardPeakAngle,102.884455
metrics,peakAngleDifference,-0.167833
metrics,patientMinAngle,7.985524
metrics,standardMinAngle,7.985524
metrics,minAngleDifference,0.0
metrics,patientAmplitude,94.731098
metrics,standardAmplitude,94.898931
metrics,amplitudeDifference,-0.167833
metrics,mae,0.132663
metrics,rmse,0.150996
metrics,maxAbsoluteDeviation,0.317902
metrics,meanSignedDeviation,0.000108
metrics,correlation,0.999998
metrics,outsideStandardBandPercent,0.0
segmentMetricSummary,segmentRmseMean,0.150996
segmentMetricSummary,segmentRmseStd,0.0
segmentMetricSummary,segmentAmplitudeDifferenceMean,-0.167833
segmentMetricSummary,segmentPeakAngleDifferenceMean,-0.167833
segmentMetricSummary,segmentOutsideStandardBandPercentMean,0.0
engineeringThresholds,validationStatus,preliminary_engineering_thresholds_not_clinically_validated
engineeringThresholds,normalRmseMax,8.0
engineeringThresholds,mildRmseMax,18.0
engineeringThresholds,normalAmplitudeDifferenceMax,10.0
engineeringThresholds,mildAmplitudeDifferenceMax,25.0
engineeringThresholds,normalOutsideStandardBandMax,20.0
engineeringThresholds,mildOutsideStandardBandMax,50.0
classification,status,normal
classification,confidence,medium
classification,comparisonMode,segmented
metadata,comparisonVersion,v0.3-segmented-visual-exports
