section,name,value
metrics,patientPeakAngle,86.367625
metrics,standardPeakAngle,61.363057
metrics,peakAngleDifference,25.004568
metrics,patientMinAngle,60.572355
metrics,standardMinAngle,7.586953
metrics,minAngleDifference,52.985402
metrics,patientAmplitude,25.79527
metrics,standardAmplitude,53.776104
metrics,amplitudeDifference,-27.980834
metrics,mae,48.643373
metrics,rmse,50.228242
metrics,maxAbsoluteDeviation,60.853467
metrics,meanSignedDeviation,48.643373
metrics,correlation,0.833339
metrics,outsideStandardBandPercent,100.0
segmentMetricSummary,segmentRmseMean,61.894193
segmentMetricSummary,segmentRmseStd,13.772658
segmentMetricSummary,segmentAmplitudeDifferenceMean,32.900129
segmentMetricSummary,segmentPeakAngleDifferenceMean,55.821928
segmentMetricSummary,segmentOutsideStandardBandPercentMean,92.376238
engineeringThresholds,validationStatus,preliminary_engineering_thresholds_not_clinically_validated
engineeringThresholds,normalRmseMax,8.0
engineeringThresholds,mildRmseMax,18.0
engineeringThresholds,normalAmplitudeDifferenceMax,10.0
engineeringThresholds,mildAmplitudeDifferenceMax,25.0
engineeringThresholds,normalOutsideStandardBandMax,20.0
engineeringThresholds,mildOutsideStandardBandMax,50.0
classification,status,significant_deviation
classification,confidence,low
classification,comparisonMode,segmented
metadata,comparisonVersion,v0.3-segmented-visual-exports
